Country, Rank, Site URL, Adult rating, Malware rating, UU, PV, Score, Test on Browser detection, Test on CSS Prefixes, Test on Edge, Test on JsLibs, Test on Plugins, Tests ran without errors, Is in CV list, Last test, Dwell time, Internal redirects, redirects
Mexico,3,gob.mx,0.000000,0.000000,1800,6780659,N/A,N/A,N/A,N/A,N/A,N/A,No,No,11/5/2015 12:00:00 AM,407909810,616249,820219,
Mexico,13,bbvanet.com.mx,0.000000,0.000000,2478,1771402,70,Pass,Pass,Fail,Pass,Pass,Yes,No,11/5/2015 12:00:00 AM,34445260,4721,16752,
Mexico,25,banorte.com,0.000000,0.000000,940,1050017,80,Fail,Fail,Pass,Pass,Pass,Yes,No,11/5/2015 12:00:00 AM,36520921,124642,161551,
Mexico,28,banamex.com.mx,0.000000,0.000000,2942,996197,90,Fail,Pass,Pass,Pass,Pass,Yes,No,11/5/2015 12:00:00 AM,66263989,297,804,
Mexico,30,edu.mx,0.000000,0.000000,7137,964952,N/A,N/A,N/A,N/A,N/A,N/A,No,No,11/5/2015 12:00:00 AM,60321528,42129,65738,
Mexico,31,segundamano.mx,0.000000,0.000000,2400,869281,90,Fail,Pass,Pass,Pass,Pass,Yes,No,11/5/2015 12:00:00 AM,33499076,27657,33301,
Mexico,55,andrea.com,0.000000,0.000000,6219,495213,70,Pass,Pass,Fail,Pass,Pass,Yes,No,11/5/2015 12:00:00 AM,6557061,3308,7880,
Mexico,62,unam.mx,0.000000,0.000000,6183,453572,70,Fail,Pass,Pass,Fail,Pass,Yes,No,11/5/2015 12:00:00 AM,32155336,14820,23433,
Mexico,76,eluniversal.com.mx,0.000000,0.000000,4076,353266,70,Fail,Pass,Pass,Fail,Pass,Yes,No,11/5/2015 12:00:00 AM,73356853,1755,4364,
Mexico,80,occ.com.mx,0.000000,0.000000,11703,338776,60,Fail,Pass,Fail,Pass,Pass,Yes,No,11/5/2015 12:00:00 AM,17595938,55106,60039,
Mexico,89,volaris.com,0.000000,0.000000,18,308182,60,Fail,Pass,Fail,Pass,Pass,Yes,No,11/5/2015 12:00:00 AM,12697125,39234,58297,
Mexico,108,inegi.org.mx,0.000000,0.000000,8725,256595,N/A,N/A,N/A,N/A,N/A,N/A,No,No,11/5/2015 12:00:00 AM,18321126,10464,19409,
Mexico,116,infonavit.org.mx,0.000000,0.000000,368,243657,N/A,N/A,N/A,N/A,N/A,N/A,No,No,11/5/2015 12:00:00 AM,18076985,11865,21003,
Mexico,121,anumex.com,0.000000,0.000000,5805,230750,90,Fail,Pass,Pass,Pass,Pass,Yes,No,11/5/2015 12:00:00 AM,7345745,537,608,
Mexico,125,telmex.com,0.000000,0.000000,3242,227257,50,Fail,Fail,Pass,Pass,Fail,Yes,No,11/5/2015 12:00:00 AM,13366125,9402,14618,
Mexico,156,itesm.mx,0.000000,0.000000,10510,178743,70,Pass,Pass,Fail,Pass,Pass,Yes,No,11/5/2015 12:00:00 AM,11612551,20874,25781,
Mexico,165,pemex.com,0.000000,0.000000,5395,169561,90,Fail,Pass,Pass,Pass,Pass,Yes,No,11/5/2015 12:00:00 AM,7881085,5929,9474,
Mexico,168,excelsior.com.mx,0.000000,0.000000,1419,163812,90,Fail,Pass,Pass,Pass,Pass,Yes,No,11/5/2015 12:00:00 AM,18184828,67,939,
Mexico,173,liverpool.com.mx,0.000000,0.000000,10988,156706,100,Pass,Pass,Pass,Pass,Pass,Yes,No,11/5/2015 12:00:00 AM,7692231,14215,16449,
Mexico,187,nextel.com.mx,0.000000,0.000000,4279,144681,60,Fail,Pass,Fail,Pass,Pass,Yes,No,11/5/2015 12:00:00 AM,5488738,1567,1759,
Mexico,190,clarovideo.com,0.000000,0.000000,9117,142743,100,Pass,Pass,Pass,Pass,Pass,Yes,No,11/5/2015 12:00:00 AM,10407886,21138,26868,
Mexico,196,qualitas.com.mx,0.000000,0.000000,11601,140286,N/A,N/A,N/A,N/A,N/A,N/A,No,No,11/5/2015 12:00:00 AM,9275270,22229,23823,
Mexico,202,colnect.com,0.000000,0.000000,12831,137010,100,Pass,Pass,Pass,Pass,Pass,Yes,No,11/5/2015 12:00:00 AM,2224261,2227,2408,
Mexico,207,udg.mx,0.000000,0.000000,8200,133061,70,Fail,Pass,Pass,Fail,Pass,Yes,No,11/5/2015 12:00:00 AM,8063774,5670,6937,
Mexico,214,cklass.com,0.000000,0.000000,11318,127870,60,Fail,Pass,Fail,Pass,Pass,Yes,No,11/5/2015 12:00:00 AM,1020919,0,7,
Mexico,225,santander-serfin.com,0.000000,0.000000,3207,119624,N/A,N/A,N/A,N/A,N/A,N/A,No,No,11/5/2015 12:00:00 AM,5181513,15062,15171,
Mexico,231,net.mx,0.000000,0.000000,10378,118372,N/A,N/A,N/A,N/A,N/A,N/A,No,No,11/5/2015 12:00:00 AM,11630299,2263,11580,
Mexico,243,santander.com.mx,0.000000,0.000000,10172,114016,0,Pass,Pass,Pass,Pass,Pass,Yes,Yes,11/5/2015 12:00:00 AM,6746254,304,1488,
Mexico,268,bb.com.mx,0.000000,0.000000,1321,106457,N/A,N/A,N/A,N/A,N/A,N/A,No,No,11/5/2015 12:00:00 AM,8612229,14588,16137,
Mexico,275,ipn.mx,0.000000,0.000000,8729,103599,70,Fail,Pass,Pass,Fail,Pass,Yes,No,11/5/2015 12:00:00 AM,5427385,8234,11964,
Mexico,281,interjet.com.mx,0.000000,0.000000,10239,100704,N/A,N/A,N/A,N/A,N/A,N/A,No,No,11/5/2015 12:00:00 AM,6213674,13351,26450,
Mexico,287,inbursa.com,0.000000,0.000000,3439,98623,N/A,N/A,N/A,N/A,N/A,N/A,No,No,11/5/2015 12:00:00 AM,6128584,2406,2981,
Mexico,294,milenio.com,0.000000,0.000000,11835,96895,40,Fail,Pass,Pass,Fail,Fail,Yes,No,11/5/2015 12:00:00 AM,15424865,153,891,
Mexico,297,nafin.com,0.000000,0.000000,9103,96366,N/A,N/A,N/A,N/A,N/A,N/A,No,No,11/5/2015 12:00:00 AM,3093045,4527,7260,
